Title,IMDb ID
 The Dark Knight,tt0468569
 Inception,tt1375666
 The Matrix,tt0133093
 Star Wars: Episode V - The Empire Strikes Back,tt0080684
 Star Wars,tt0076759
 Terminator 2: Judgment Day,tt0103064
 Shichinin no samurai,tt0047478
 Gladiator,tt0172495
 Dune: Part Two,tt15239678
 Léon,tt0110413
 Spider-Man: Across the Spider-Verse,tt9362722
 Avengers: Endgame,tt4154796
 Raiders of the Lost Ark,tt0082971
 The Dark Knight Rises,tt1345836
 Avengers: Infinity War,tt4154756
 Aliens,tt0090605
 Spider-Man: Into the Spider-Verse,tt4633694
 Heat,tt0113277
 Oldeuboi,tt0364569
 Star Wars: Episode VI - Return of the Jedi,tt0086190
 Dangal,tt5074352
 Shershaah,tt10295212
 Top Gun: Maverick,tt1745960
 Jurassic Park,tt0107290
 Spider-Man: No Way Home,tt10872600
 The Lord of the Rings: The Return of the King,tt0167260
 The Lord of the Rings: The Fellowship of the Ring,tt0120737
" Il buono, il brutto, il cattivo",tt0060196
 The Lord of the Rings: The Two Towers,tt0167261
 Interstellar,tt0816692
 Sen to Chihiro no kamikakushi,tt0245429
 The Lion King,tt0110357
 Back to the Future,tt0088763
 Inglourious Basterds,tt0361748
 WALL·E,tt0910970
 Coco,tt2380307
 2001: A Space Odyssey,tt0062622
 North by Northwest,tt0053125
 Hotaru no haka,tt0095327
 Kimi no na wa,tt5311514
 Toy Story,tt0114709
 Up,tt1049413
 Mononoke-hime,tt0119698
 Toy Story 3,tt0435761
 The Wild Robot,tt29623480
 Hauru no ugoku shiro,tt0347149
 Finding Nemo,tt0266543
 Klaus,tt4729430
 How to Train Your Dragon,tt0892769
 Ratatouille,tt0382932
 Inside Out,tt2096673
" Monsters, Inc",tt0198781
 Koe no katachi,tt5323662
 Tonari no Totoro,tt0096283
 The Iron Giant,tt0129167
 Mary and Max,tt0978762
 The Incredibles,tt0317705
 Schindler's List,tt0108052
 12th Fail,tt23849204
 GoodFellas,tt0099685
 The Pianist,tt0253474
 Amadeus,tt0086879
 Oppenheimer,tt15398776
 Braveheart,tt0112573
 Hamilton,tt8503618
 Lawrence of Arabia,tt0056172
 The Wolf of Wall Street,tt0993846
 Green Book,tt6966692
 The Elephant Man,tt0080678
 A Beautiful Mind,tt0268978
 Der Untergang,tt0363163
 Hacksaw Ridge,tt2119532
 The Sound of Music,tt0059742
 Ford v Ferrari,tt1950186
 Into the Wild,tt0758758
 Catch Me If You Can,tt0264464
 12 Years a Slave,tt2024544
 Rush,tt1979320
 Spotlight,tt1895587
 Raging Bull,tt0081398
 La vita è bella,tt0118799
 Django Unchained,tt1853728
 Intouchables,tt1675434
 City Lights,tt0021749
 Modern Times,tt0027977
 3 Idiots,tt1187043
 The Great Dictator,tt0032553
 Le fabuleux destin d'Amélie Poulain,tt0211915
 Dr,tt0057012
 The Sting,tt0070735
 Singin' in the Rain,tt0045152
 The Apartment,tt0053604
 Dil Bechara,tt8110330
 Snatch,tt0208092
 The Truman Show,tt0120382
 Monty Python and the Holy Grail,tt0071853
 Some Like It Hot,tt0053291
 The Godfather,tt0068646
 12 Angry Men,tt0050083
 The Godfather Part II,tt0071562
 Pulp Fiction,tt0110912
 Jai Bhim,tt15097216
 Se7en,tt0114369
 The Silence of the Lambs,tt0102926
 The Green Mile,tt0120689
 Cidade de Deus,tt0317248
 The Departed,tt0407887
 The Usual Suspects,tt0114814
 American History X,tt0120586
 Witness for the Prosecution,tt0051201
 Scarface,tt0086250
 Once Upon a Time in America,tt0087843
 Joker,tt7286456
 Reservoir Dogs,tt0105236
 To Kill a Mockingbird,tt0056592
 M - Eine Stadt sucht einen Mörder,tt0022100
 Double Indemnity,tt0036775
 It's a Wonderful Life,tt0038650
 Taare Zameen Par,tt0986264
 The Kid,tt0012349
 The Wizard of Oz,tt0032138
 Harry Potter and the Deathly Hallows - Part 2,tt1201607
 Hachi: A Dog's Tale,tt1028532
 El laberinto del fauno,tt0457430
 Pirates of the Caribbean: The Curse of the Black Pearl,tt0325980
 Hotel Rwanda,tt0395169
 The King's Speech,tt1504320
 JFK,tt0102138
 Gandhi,tt0083987
 Persepolis,tt0808417
 Spartacus,tt0054331
 All the President's Men,tt0074119
 Tombstone,tt0108358
 Hidden Figures,tt4846340
 Im Westen nichts Neues,tt1016150
 Dunkirk,tt5013056
 The Irishman,tt1302006
 The Big Short,tt1596363
 La sociedad de la nieve,tt16277242
 Straight Outta Compton,tt1398426
 The Insider,tt0140352
 Glory,tt0097441
 Kaze tachinu,tt2013293
 Letters from Iwo Jima,tt0498380
 Alien,tt0078748
 Psycho,tt0054215
 The Shining,tt0081505
 The Thing,tt0084787
 Jaws,tt0073195
 The Exorcist,tt0070047
 Rosemary's Baby,tt0063522
 Shaun of the Dead,tt0365748
" Nosferatu, eine Symphonie des Grauens",tt0013442
 Get Out,tt5052448
 Predator,tt0093773
 Låt den rätte komma in,tt1139797
 Dawn of the Dead,tt0077402
 Night of the Living Dead,tt0063350
 Gojira -1,tt23289160
 Halloween,tt0077651
 Evil Dead II,tt0092991
 American Psycho,tt0144084
 Busanhaeng,tt5700672
 The Others,tt0230600
 Saw,tt0387564
 What We Do in the Shadows,tt3416742
 The Fly,tt0091064
 Whiplash,tt2582802
 La La Land,tt3783958
 CODA,tt10366460
 Soul,tt2948372
 The Blues Brothers,tt0080455
 Bohemian Rhapsody,tt1727824
 Almost Famous,tt0181875
 This Is Spinal Tap,tt0088258
 Sing Street,tt3544112
 Walk the Line,tt0358273
 Trois couleurs: Bleu,tt0108394
 Once,tt0907657
