Movie Runtime,Domestic Gross,IMDB Rating,RT Rating,Metacritic Rating,IMDB Vote Count,Release Month,Season,is_holiday_release,director_popularity,actor_popularity,writer_popularity,is_english,Language_Count,Country_Count,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Short,Sport,Thriller,War,Western
162,785221649,7.9,81,83,1416018,12,3,1,6,16,7,1,2,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
181,858373000,8.4,94,78,1328385,4,1,0,10,33,30,1,4,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,684075767,7.5,76,67,524426,12,3,1,6,16,18,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
194,674292608,7.9,88,75,1322762,12,3,1,6,30,7,1,4,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
138,936662225,7.8,93,80,989068,12,3,1,6,8,12,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
149,678815482,8.4,85,68,1263980,4,1,0,10,29,30,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
148,814866759,8.2,93,71,931409,12,3,1,3,12,24,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
96,652980194,7.6,91,73,201664,6,2,0,1,5,3,1,3,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,653406625,6.9,72,59,693345,6,2,0,3,18,11,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
118,543638043,6.8,51,55,277152,7,2,0,6,8,9,1,2,3,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,623357910,8.0,91,69,1495259,5,1,0,2,34,6,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
137,353007020,7.1,82,67,423234,4,1,0,9,27,14,1,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
130,718732821,8.2,96,78,754892,5,1,0,3,42,12,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,477373578,6.8,77,64,203967,11,0,1,6,9,12,1,1,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,636238421,6.8,88,80,584377,7,2,0,2,10,5,1,2,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
141,459005868,7.3,76,66,949059,5,1,0,2,33,21,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
92,574934330,7.0,59,46,259284,4,1,0,3,16,2,1,1,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,504481165,7.1,71,65,342842,3,1,0,4,5,8,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
134,700426566,7.3,96,88,859088,2,3,0,3,7,20,1,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
130,381447587,8.1,96,85,984804,7,2,0,8,26,9,1,2,2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
128,636745858,7.6,78,56,468319,7,2,0,11,25,9,1,3,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,620181382,6.9,91,84,687800,12,3,1,4,7,12,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
128,417719760,6.1,47,51,355048,6,2,0,3,17,7,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
102,400953009,7.4,89,75,681542,11,0,1,6,7,12,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,409013994,7.1,79,62,922311,5,1,0,2,19,21,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
118,608581744,7.5,93,80,346493,6,2,0,6,5,3,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,226008385,6.6,67,56,260549,4,1,0,7,27,6,1,3,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
91,336045770,6.4,55,56,268410,7,2,0,5,23,2,1,3,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,408084349,7.8,90,75,874555,5,1,0,10,24,18,1,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
143,335104314,6.8,66,55,533158,12,3,1,9,15,8,1,4,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
201,381878219,9.0,94,94,2044929,12,3,1,8,19,14,1,4,2,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
129,391283774,7.4,91,69,586806,7,2,0,3,29,24,1,3,5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,426829839,6.8,79,64,628362,3,1,0,4,25,5,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
154,352390543,6.2,35,42,441275,6,2,0,13,10,8,1,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
164,448149584,8.4,87,78,1875652,7,2,0,12,30,15,1,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
143,304360277,7.8,92,81,745160,11,0,1,6,17,17,1,5,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
165,245439076,5.6,18,32,337717,6,2,0,13,16,8,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
127,407185075,8.2,91,68,1104676,6,2,0,27,11,18,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
128,355559216,6.9,57,53,299628,5,1,0,10,26,4,1,2,7,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,335477657,8.3,68,59,1577608,10,0,0,9,23,7,1,2,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
141,515202542,6.4,51,53,508073,12,3,1,6,8,9,1,1,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
100,434038008,7.6,97,84,292487,6,2,0,2,33,13,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,415004880,8.3,98,92,921155,6,2,0,2,37,13,1,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,423315812,7.4,53,53,787340,7,2,0,9,35,19,1,5,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
133,533539991,7.8,84,65,704792,12,3,1,3,4,9,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
100,450570191,6.9,61,58,69613,11,0,1,3,11,4,1,1,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,241071802,6.6,32,45,576863,5,1,0,6,31,19,1,2,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
136,487576624,6.5,53,51,880286,5,1,0,5,27,5,1,2,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
89,264624300,6.3,59,49,165986,6,2,0,6,23,17,1,1,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,486295561,7.2,94,77,314409,6,2,0,5,4,5,1,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,318886962,7.7,80,65,893116,11,0,1,9,26,11,1,2,2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
108,341268248,8.0,98,78,572524,3,1,0,5,11,5,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,334191110,6.4,50,53,449837,3,1,0,17,16,7,1,1,5,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
169,303030651,7.8,64,58,894192,12,3,1,8,12,18,1,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
152,534987076,9.0,94,84,2974670,7,2,0,12,24,15,1,2,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,376851080,5.6,29,38,216826,6,2,0,3,20,7,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
88,424979720,8.5,93,88,1181907,6,2,0,3,11,6,1,4,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,329862540,8.3,93,90,844329,7,2,0,12,22,8,1,4,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
146,296374621,7.7,77,65,623274,11,0,1,8,26,9,1,2,2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
98,368065385,7.3,75,62,438373,7,2,0,4,26,17,1,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,361004205,6.2,56,52,56984,7,2,0,5,24,14,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,364001123,7.3,94,77,297031,4,1,0,6,11,2,1,1,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,404540171,7.0,77,58,470786,12,3,1,5,31,13,1,1,6,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,255138261,7.4,59,59,590388,12,3,1,8,7,18,1,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
